service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,platform_name,platform_address,platform_city,url,score,name_score,slug_score,address_score,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason
firsttable,3808,fe609937-7419-4491-9e25-58db9629085d,Bangs,"46 Old Market Street, Bristol, BS2 0EX, GB",bristol,st-philips,bangs,Bianchis,Central,bristol,https://www.firsttable.co.uk/bristol/central/bianchis,64.53,61.54,61.54,17.39,False,60.89,3.64,False,needs review
firsttable,3574,ee6cfe30-25e8-46ba-8e19-f2c466111525,The Second Combing,"125 Cheltenham Road, Bristol",bristol,stokes-croft,the-second-combing,The Old House at Home,Chippenham,bristol,https://www.firsttable.co.uk/bristol/chippenham/the-old-house-at-home,64.52,56.41,35.9,37.84,False,63.91,0.61,False,needs review
firsttable,833,38796271-ae24-4daa-9de6-8e650554faa9,Beast Butchers,"96 Mina Road, Bristol, BS2 9XW",bristol,saint-werburghs,beast-butchers,The Bear & Swan,Chew Magna,bristol,https://www.firsttable.co.uk/bristol/chew-magna/the-bear-and-swan,64.5,59.26,48.28,26.32,False,,999.0,False,needs review
firsttable,2759,b7c54b12-7437-4a91-93a7-f39f73d31768,Visage Clinic,"213a Wellington Hill West, Bristol, BS9 4QL",bristol,henleaze,visage-clinic,No.4 Clifton Village,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/clifton-no-4,64.49,60.61,30.3,20.83,False,61.88,2.61,False,needs review
firsttable,1380,5c196c9a-e732-4008-acc7-cb51348e2be0,Pastimes,"22 Lower Park Row, Bristol, BS1 5BN, GB",bristol,broadmead,pastimes,Sixes,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/sixes,64.48,61.54,61.54,17.02,False,,999.0,False,needs review
firsttable,3321,de295400-1f5c-40b4-84f0-f3df7e977826,Salt & Malt,"Cargo2 Museum Street, Bristol, BS1 6ZA",bristol,wapping-wharf,salt-malt,Rock Salt,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/rock-salt,64.48,61.54,44.44,17.02,False,64.39,0.09,False,needs review
firsttable,3110,cff59dd5-979a-4bae-8291-b102ba3b0aaa,The Split Tin Bakery,"118 Coldharbour Road, Bristol, BS6 7SL",bristol,westbury-park,the-split-tin-bakery,The Metropolitan,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/the-metropolitan,64.46,61.11,38.89,18.6,False,63.97,0.49,False,needs review
firsttable,1207,50fd62fb-2e83-42af-8501-69e0755db983,A City Carpets,"Unit 1-5 FishPonds Trading Estate Clay Hill, Bristol, BS5 7ES",bristol,crofts-end,a-city-carpets,"Bristol City Centre breakfast deals
Book a First Table for breakfast and get 50% off the food bill",City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/breakfast,64.43,60.0,17.65,22.86,False,64.43,0.0,False,needs review
firsttable,433,1cbf3fb5-c499-4ac3-8a56-a1e2536c5901,Canton,"186 Bedminster Down Road, Bristol, BS13 7AF",bristol,bedminster-down,canton,Clifton,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/breakfast,64.42,61.54,61.54,16.67,False,61.82,2.6,False,needs review
firsttable,1120,4b7fb89d-779a-463f-be5b-1ad1ec1fc000,Domino's,"Unit 1 Hengrove Leisure Park, BS14 0HR",bristol,whitchurch,dominos,Muiño,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/muino,64.42,61.54,50.0,16.67,False,64.12,0.3,False,needs review
firsttable,1193,50540084-465d-4ff7-bd74-545795b881f4,The Co-operative Food,"105-107 Bishopsworth Road, Bristol, BS13 7JR",bristol,bedminster-down,the-co-operative-food,"Gloucester Road breakfast deals
Book a First Table for breakfast and get 50% off the food bill",Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/breakfast,64.42,55.17,19.05,42.11,False,64.42,0.0,False,needs review
firsttable,1368,5b393d84-982e-4ee7-8b09-d5111a8edfca,Parsons,"5 High Street, Bristol, BS9 3BY",bristol,westbury-on-trym,parsons,Browns,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/browns,64.42,61.54,61.54,16.67,False,61.05,3.37,False,needs review
firsttable,2199,90b9ab1b-fe22-4c7e-946b-18d0cb6f65bd,The Co-operative Food,"60-64 Filton Road, Bristol, BS7 0PB",bristol,horfield,the-co-operative-food,"Gloucester Road breakfast deals
Book a First Table for breakfast and get 50% off the food bill",Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/breakfast,64.42,55.17,19.05,42.11,False,64.42,0.0,False,needs review
firsttable,2440,a0b5dfd5-8957-4ecc-bc28-7671c7c91f19,The Co-operative Food,"68 Broomhill Road, Bristol, BS4 4SD",bristol,brislington,the-co-operative-food,"Gloucester Road breakfast deals
Book a First Table for breakfast and get 50% off the food bill",Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/breakfast,64.42,55.17,19.05,42.11,False,64.42,0.0,False,needs review
firsttable,3388,e2825600-9149-4d28-a47c-3be375eacb36,The Co-operative Food,"174-178 Wells Road, Bristol, BS4 2AL",bristol,totterdown,the-co-operative-food,"Gloucester Road breakfast deals
Book a First Table for breakfast and get 50% off the food bill",Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/breakfast,64.42,55.17,19.05,42.11,False,64.42,0.0,False,needs review
firsttable,3606,f0820e95-1a2a-49dc-ac6d-dd93d80282d4,The Co-operative Food,"Ashley Heights Ashley Down Road, Bristol, BS7 9DD",bristol,bishopston,the-co-operative-food,"Gloucester Road breakfast deals
Book a First Table for breakfast and get 50% off the food bill",Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/breakfast,64.42,55.17,19.05,42.11,False,64.42,0.0,False,needs review
firsttable,2404,9dae24e8-03a6-4174-8c39-5602f1f59d89,Hue Beauty,Cargo2 Museum Street,bristol,wapping-wharf,hue-beauty,Hotwells Eatery,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/hotwells-eatery,64.41,56.0,32.0,38.71,False,,999.0,False,needs review
firsttable,3249,d93d540c-6538-4d91-9cfb-6c7dc3319c43,The Ivy,"42-44 Caledonia Place, Bristol, BS8 4DN",bristol,clifton,the-ivy,The Ox Bristol,Central,bristol,https://www.firsttable.co.uk/bristol/central/the-ox,64.41,60.0,28.57,22.73,False,64.41,0.0,False,needs review
firsttable,3776,fc4ba310-9c49-4f51-a59e-b2a2095d592d,Carlo,"402 Whitehall Road, Bristol, BS5 7BU",bristol,chester-park,carlo,Local.,Bedminster,bristol,https://www.firsttable.co.uk/bristol/bedminster/north-street-standard,64.41,60.0,54.55,22.73,False,61.64,2.77,False,needs review
firsttable,28,01b7ab94-46a9-46a9-b731-ed933cb39fec,Pizza on the Park,"31 Berkeley Square, Bristol, BS8 1HP",bristol,clifton,pizza-on-the-park,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.39,58.82,34.48,27.27,False,62.77,1.62,False,needs review
firsttable,879,3bd62c41-49c0-4ba2-ad23-a3dcb32c6366,Blame Gloria,"22 Small Street, Bristol, BS1 1DW",bristol,city-centre,blame-gloria,Tikka Flame,Harbourside,bristol,https://www.firsttable.co.uk/bristol/harbourside/tikka-flame,64.38,60.87,52.17,19.05,False,,999.0,False,needs review
firsttable,188,0b324121-9ed5-4aa9-9912-d7502afe84ae,Parsons,"3 Princess Victoria Street, Bristol, BS8 4BX",bristol,clifton,parsons,Browns,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/browns,64.37,61.54,61.54,16.33,False,60.0,4.37,False,needs review
firsttable,78,0491710f-c697-4dad-bc37-646291b39134,Farrows,"146 Wells Road, Bristol, BS4 2AG",bristol,totterdown,farrows,Browns,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/browns,64.36,61.54,61.54,16.22,False,,999.0,False,needs review
firsttable,978,4235d31f-254a-4864-820f-d9827816b2cc,China Chef,"265 Lodge Causeway, Bristol, BS16 3RA",bristol,fishponds,china-chef,Chew Magna,Chew Magna,bristol,https://www.firsttable.co.uk/bristol/chew-magna/breakfast,64.33,60.0,40.0,22.22,False,,999.0,False,needs review
firsttable,2333,996fbc03-bf9f-4453-860c-158d6db805ff,The Gryphon,"41 Colston Street, Bristol, BS1 5AP",bristol,city-centre,the-gryphon,The Metropolitan,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/the-metropolitan,64.31,59.26,37.04,25.0,False,62.77,1.54,False,needs review
firsttable,502,227c5b11-9bdc-48f3-8981-fa687c3580e4,Pizza Factory & Fish & Chips,"200 Bloomfield Road, Bristol, BS4 3QU",bristol,brislington,pizza-factory-fish-chips,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.29,58.82,27.78,26.67,False,,999.0,False,needs review
firsttable,672,2e2e8149-f1b3-4cda-90f8-10c0655e7c4f,M&M Kebab & Pizza,"201 Avonmouth Road, Bristol, BS11 9EG",bristol,avonmouth,m-m-kebab-pizza,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.29,58.82,37.04,26.67,False,61.64,2.65,False,needs review
firsttable,1736,73639b56-5939-4eff-8bab-47391730e4a2,The Yeoman,"700 Wells Road, Bristol, BS14 9HX",bristol,hengrove,the-yeoman,The Metropolitan,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/the-metropolitan,64.29,61.54,30.77,15.79,False,63.93,0.36,False,needs review
firsttable,2341,99ead31a-869d-40f8-bb35-f9f8f047b75d,The Lounge,"167 Greystoke Avenue, Bristol, BS10 6AS",bristol,southmead,the-lounge,The Clifton Sausage,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/the-clifton-sausage,64.29,62.07,34.48,13.64,False,64.19,0.1,False,needs review
firsttable,3421,e49aaa1e-b19f-445e-8d6d-6190c398450c,Designers,311 Gloucester Road,bristol,ashley-down,designers,Sixes,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/sixes,64.29,57.14,57.14,33.33,False,61.75,2.54,False,needs review
firsttable,2516,a5da235f-d016-4d88-85eb-2743acd00186,Sea pearl,"73 East Street, Bristol, BS3 4HB",bristol,bedminster,sea-pearl,St Pauls,St Pauls,bristol,https://www.firsttable.co.uk/bristol/st-pauls/lunch,64.24,58.82,35.29,26.32,False,,999.0,False,needs review
firsttable,1014,444f019d-dfef-4ad7-a7e5-0fd636a5e3a2,Ahh Toots,"17 Christmas Street, Bristol, BS1 5BT",bristol,city-centre,ahh-toots,Tonkotsu,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/tonkotsu,64.21,58.82,58.82,26.09,False,,999.0,False,needs review
firsttable,2919,c1b7f2dd-9293-482a-a7af-3545d35ef122,Pizza Workshop,"159 Whiteladies Road, Bristol, BS8 2RF",bristol,clifton,pizza-workshop,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.21,58.82,38.46,26.09,False,61.78,2.43,False,needs review
